ChannelName,post_body_text,published_at,LikesCount,SharesCount,CommentsCount,ViewsCount,is_safety_related,compound_score,sentiment
GPB News,"The cast and crew of Jaja’s African Hair Braiding previewed selected scenes and original works for commuters at the College Park MARTA station this month. 

GPB’s Amanda Andrews gives us an audio postcard from the south metro Atlanta area: https://t.co/weVOwxa3oY https://t.co/1l3GfGUvhF",2025-02-20T00:45:21.000Z,0.0,0.0,0.0,193.0,True,0.3182,positive
Atlanta News First ,"One line on the chopping block is Route 24 that runs through the business district of Atlanta’s Kirkwood neighborhood.

SUBSCRIBE and turn on notifications so you don't miss any videos: https://bit.ly/3SS3Avs 

For more stories check out  https://www.atlantanewsfirst.com/ 

FOLLOW US for more! 
Like Atlanta News First on Facebook: https://bit.ly/3EcIseI 
Follow Atlanta News First on Twitter: https://bit.ly/3SQcVmV 
Follow Atlanta News First Instagram: https://bit.ly/3rdWMMg 
Follow Atlanta News First Tik Tok: https://bit.ly/3RC8U4p",2025-02-20T00:12:21.000Z,2.0,0.0,0.0,191.0,True,0.2246,positive
The Atlanta Journal-Constitution,"Three months after MARTA announced a deal with the city of Atlanta to demolish the leaky concrete canopy that towers over downtown’s Five Points station, the city has yet to approve construction permits for the $230 million street-level renovation.",2025-02-19T03:00:07.000Z,4.0,0.0,1.0,0.0,True,0.0,neutral
V-103 The People's Station,"It’s Black History Month and today we’re shining a light on Mrs. Elizabeth Omilami, who’s commitment to feeding the hungry and helping the ATL’s underserved communities through Hosea Helps is unmatched. 

Voices Of Influence is brought to you by the Atlanta Braves, Mabra Law, and MARTA. 

#blackhistory #blackhistorymonth 

📸Getty",2025-02-18T15:23:17.000Z,16.0,0.0,0.0,191.0,True,0.8402,positive
Elect Viola Davis,"DeKalb County House Legislative Delegation to Hold Meeting with DeKalb County Board of Commissioners &amp; MARTA

ATLANTA – DeKalb County House Delegation Chair Karla Drenner (D-Avondale Estates) and Vice Chair Viola Davis (D-Stone Mountain), along with members of the DeKalb County https://t.co/OkFqFI6BlG",2025-02-16T02:01:46.000Z,0.0,0.0,0.0,111.0,True,0.0,neutral
V-103 The People's Station,"Is Black History Month and today was shining the light on the life and legacy of John Lewis, who’s unwavering commitment to nonviolent resistance and social change continues to inspire generations of activists around the world.

Voices Of Influence is brought to you by the Atlanta Braves, Mabra Law, and MARTA. 

#blackhistory #blackhistorymonth 

📸Getty",2025-02-13T22:49:27.000Z,9.0,0.0,0.0,58.0,True,0.8481,positive
SaportaReport,A significant moment in time for Georgia’s capital city:  Leaders of several regional entities have one attribute in common. They all are from the City of Atlanta. MARTA  Downtown Atlanta  Atlanta Beltline  Buckhead Coalition  Atlanta Regional Commission  Council for Quality Growth,2025-02-12T15:21:02.000Z,1.0,0.0,0.0,0.0,True,0.5267,positive
WABE News,"Atlanta City Councilmember Marci Collier Overstreet returned to “Closer Look” to discuss her vision for Greenbriar Mall, which includes boosting foot traffic, partnering with MARTA, and adding workforce housing and a grocery store. https://t.co/iCMAmrl7jO",2025-02-10T23:30:00.000Z,1.0,0.0,0.0,243.0,True,0.5267,positive
11Alive,Here's what we know.,2025-02-09T15:41:48.000Z,32.0,0.0,0.0,1069.0,True,0.0,neutral
11Alive News,"Missing brother, sister last seen near Oakland City MARTA station in Atlanta https://t.co/y8kGdXWVWw",2025-02-09T03:44:03.000Z,1.0,2.0,0.0,1221.0,True,-0.296,negative
